ime,visina,obrat
Mangartska koča na Mangartskem sedlu,1906 m,12%
Mala Rodica,1901 m,45%
Kser,1900 m,39%
Rušnata glava,1899 m,31%
Vrtaški vrh,1898 m,16%
Poljanski vrh,1897 m,44%
Vrh Krnic,1896 m,42%
Vrh Razora,1893 m,24%
Studorski preval,1892 m,17%
Srednji Selišnik,1890 m,34%
Klečica,1889 m,52%
Šija,1880 m,10%
Spodnje Kriško jezero,1880 m,18%
Krsteniški Stog,1879 m,35%
Konjski vrh,1879 m,38%
Čisti vrh,1875 m,26%
Rifugio Corsi,1874 m,25%
Tolminski Migovec,1868 m,21%
Požgana Mlinarica,1868 m,30%
Vrh Planje (nad Globokim),1863 m,43%
Skutnik/Torre Guarda,1860 m,34%
Vrh Dlani,1852 m,49%
Bivak Nogara,1850 m,35%
Rifugio Gilberti,1850 m,30%
Šober / Monte Sciober Grande,1845 m,35%
Žabiški Kuk,1844 m,30%
Črna prst,1844 m,1%
Četrt,1832 m,45%
Jezero v Ledvicah,1831 m,15%
Kovačičeva glava,1827 m,48%
Visoka glava,1822 m,52%
Vodnikov dom na Velem polju,1817 m,4%
Stara koča na Kaninu,1814 m,93%
Pri treh macesnih,1810 m,32%
Vrtec,1809 m,41%
Jezero v Lužnici,1801 m,19%
Visoki Orlov rob,1800 m,40%
Škraplja,1794 m,41%
Plesišče,1790 m,38%
Kumlehova glava,1788 m,26%
Rušni vrh,1786 m,50%
Stadorski Orliči,1782 m,50%
Rušnata Mlinarica,1777 m,40%
Krasji vrh,1773 m,9%
Rigeljc,1768 m,50%
Veliki vrh (Polovnik),1768 m,28%
Čukla,1767 m,14%
Svete Višarje / Monte Lussari,1766 m,2%
Kurji vrh,1762 m,18%
Pršivec,1761 m,5%
Glave,1760 m,46%
Luknja,1758 m,14%
Sovna glava,1750 m,24%
Zavitar,1750 m,32%
Visoka peč,1749 m,75%
Ciprnik,1745 m,5%
Vršič vrh,1737 m,5%
Skutnik /Monte Guarda,1721 m,25%
Planina Jezerce,1720 m,20%
Planina Zgornja Krma,1720 m,15%
Veliki Karman / Monte Chiampon,1713 m,43%
Rutarski Vršič,1699 m,32%
Gradovec,1692 m,83%
Poštarski dom na Vršiču,1688 m,15%
Koča pri Triglavskih jezerih,1685 m,0%
Orlove glave,1682 m,20%
Velo polje,1680 m,15%
Stol (Julijske Alpe),1673 m,5%
Planina Krstenica,1670 m,8%
Jehlc (Špičasta kupa),1662 m,45%
Rifugio di Brazza,1660 m,26%
Planina Ovčarija,1660 m,17%
Zavetišče pod Ponco,1657 m,34%
Florjanka / Monte Florianca,1653 m,81%
Svinjak,1653 m,6%
Planina pod Mišelj vrhom,1645 m,25%
Matajur,1642 m,3%
Gabrovec,1630 m,37%
Blejska koča na Lipanci,1630 m,2%
Planina Viševnik,1625 m,9%
Vošni vrh,1621 m,55%
Tičarjev dom na Vršiču,1618 m,14%
Breški Jalovec / Punta di Montemaggiore,1613 m,28%
Muzec (Musc),1612 m,31%
Slatnik (severozahodni vrh),1609 m,15%
Možic,1602 m,8%
Planina za Migovcem,1600 m,47%
Slatnik (jugovzhodni vrh),1597 m,77%
Nemške glave,1597 m,37%
Jerebikovec,1593 m,10%
Bivak Stuparich,1587 m,46%
Šavnik,1574 m,18%
Grušnica,1570 m,79%
Višarska planina / Malga di Lussari,1570 m,33%
Visoki Mavrinc,1562 m,17%
Planina v Lazu,1560 m,16%
Planina Dedno Polje,1560 m,15%
Planina Lopučnica,1558 m,45%
Javoršček,1557 m,25%
Planina Klek,1556 m,21%
Mojčin dom na Vitrancu,1555 m,10%
Planja (nad Mangartsko planino),1553 m,92%
Bivak pod Muzcem,1550 m,34%
Lajnar,1549 m,12%
Planina v Plazeh,1548 m,45%
Dravh,1547 m,20%
Dom na Matajure,1545 m,28%
Požar,1543 m,51%
Kravja Črna gora,1541 m,36%
Visoka glava (na Matajurju),1540 m,90%
Mesnovec,1538 m,41%
Planinska koča Merjasec,1535 m,18%
Viška planina,1530 m,39%
Planina na Polju,1530 m,26%
Lovska koča na Glinu,1527 m,57%
Erjavčeva koča na Vršiču,1525 m,13%
Rifugio Cinque Punte,1520 m,45%
Dom na Komni,1520 m,2%
Planina Ravna,1515 m,54%
Krevl,1515 m,37%
Koča pod Bogatinom,1513 m,9%
Planina Za skalo,1510 m,29%
Lovska koča Na Utrci,1500 m,47%
Rifugio Pellarini,1499 m,41%
Lengarjeva glava,1498 m,56%
Kobla,1498 m,14%
Planina na Kalu,1490 m,41%
Nizki vrh ,1488 m,50%
Črni vrh / Colrotondo,1486 m,89%
Planina Vodični vrh,1486 m,36%
Javorov vrh (Pokljuka),1482 m,18%
Planina Govnjač,1480 m,27%
Bivak pod Luknjo,1480 m,14%
Kobilja glava,1475 m,20%
Planina Poljana,1466 m,48%
Vrtaška planina,1462 m,20%
Koča na Planini pri Jezeru,1453 m,4%
Jalovnik,1452 m,42%
Planina Sleme,1448 m,28%
Planina Konjščica,1438 m,8%
Rifugio Brunner,1432 m,94%
Bivak pod Špikom,1424 m,16%
Planina Zadnji Vogel,1413 m,25%
Planina Gorjuda,1404 m,52%
Planina nad Sočo,1400 m,41%
Planina Osredki,1400 m,42%
Krnsko jezero,1391 m,1%
Rifugio Grego,1389 m,40%
Planina Suha,1385 m,23%
Dom pri Krnskih jezerih,1385 m,6%
Tonkina koča na Vršiču,1380 m,74%
Rifugio Zacchi,1380 m,27%
Planica pod Krnom,1376 m,48%
Lipenšči hrib,1375 m,48%
Mali Karman / Monte Cuarnan,1372 m,52%
Javor (nad Tolminskimi Ravnami),1363 m,83%
Mrzli vrh nad planino Pretovč,1359 m,22%
Planina Strehica,1359 m,58%
Mrzli vrh (na Matajurju),1358 m,17%
Črna gora,1350 m,23%
Bivak Za Akom,1340 m,23%
Planina Za Črno goro,1340 m,34%
Orožnova koča na planini za Liscem,1338 m,9%
Planina Goričica,1336 m,27%
Frčkova planina,1335 m,53%
Srednji vrh (na Matajurju),1320 m,93%
Planina za Šavnikom,1320 m,34%
Koča na planini Razor,1315 m,5%
Kota 1313,1313 m,25%
Koča na Soriški planini,1306 m,10%
Planina Dobrenjščica,1304 m,40%
Lovska koča Bala,1300 m,49%
Mangartska planina,1295 m,78%
Črno jezero,1294 m,6%
Planina Zajavornik,1292 m,17%
Planina Zajamniki,1280 m,6%
Vrh Bače,1273 m,25%
Galetovec,1265 m,11%
Zgornji Goreljek (Pokljuka),1260 m,79%
Planina Krnica,1252 m,23%
Idrska planina,1250 m,41%
Planina Zgornja Grintovica,1250 m,27%
Turn (nad Bohinjsko Belo),1249 m,83%
Planina Zagreben,1240 m,89%
Belska planina,1237 m,82%
Izvir Nadiže,1232 m,83%
Planina Leskovca,1230 m,28%
Koča na Gozdu,1226 m,14%
Bivak Hlek,1225 m,36%
Spodnji Goreljek (Pokljuka),1222 m,82%
Italijanska vojaška kapela na Planici,1220 m,43%
Svinska planina,1214 m,37%
Škrbina (Mežakla),1210 m,32%
Planina Zaprikraj,1208 m,25%
Lovčev bivak Pri Koucah,1192 m,49%
Police,1184 m,83%
Planina Bala,1181 m,45%
Planina Spodnja Grintovica,1175 m,29%
Planina Ilovec,1170 m,90%
Planina Pretovč,1160 m,44%
Bivak na Črniku,1160 m,44%
Koča na Uskovnici,1154 m,4%
Zgornji Martuljkov slap,1150 m,22%
Planina Blato,1147 m,8%
Planina Medrja,1133 m,50%
Snežna jama na Mežakli,1130 m,35%
Ruska kapelica,1130 m,31%
Bedančev dom,1116 m,75%
Koča v Krnici,1113 m,7%
Dom v Tamarju,1108 m,5%
Hotunjski vrh,1107 m,76%
Planina Lom,1090 m,42%
Mihov dom na Vršiču,1085 m,23%
Kobala,1080 m,46%
Malga Cuarnan,1070 m,95%
Planina v Prodih,1070 m,90%
Kosijev dom na Vogarju,1054 m,11%
Partizanska bolnišnica na Mežakli,1050 m,54%
Koča na planini Stador,1050 m,36%
Kup,1046 m,42%
Planina Obranica,1035 m,42%
Planinsko zavetišče Slatna,1023 m,98%
Vodnikov razglednik,1017 m,75%
Aljažev dom v Vratih,1015 m,7%
Jezerska planina / Alpe del Lago,1006 m,92%
Planina za Jamo,1005 m,47%
Studor,1002 m,75%
Koča na planini Kuhinja,1002 m,34%
Klatnica ,1000 m,49%
Planina Laška seč,1000 m,47%
Izvir Soče,990 m,12%
Sveta Marjeta pod Stolom,973 m,44%
Ožarjeni kamen,960 m,82%
Planina Ravne,956 m,82%
Slap Suha,950 m,38%
Rudnica,946 m,17%
Boršt,931 m,77%
Slap Zaročenca,930 m,36%
Ingotova koča na planini Jesenje,930 m,20%
Zgornje Mangartsko jezero,929 m,27%
Spodnje Mangartsko jezero,924 m,77%
Planina Rčitno,900 m,42%
Kres nad Kočno,890 m,80%
Planina Blatce,888 m,88%
Kovinarska koča v Krmi,870 m,28%
Vrše,850 m,79%
Izvir Boke,850 m,41%
Slap Peričnik - zgornji slap,850 m,25%
Spodnji Martuljkov slap,850 m,34%
Zelenci,845 m,11%
Grančišče,844 m,40%
Logje,840 m,33%
Hom pri Bledu,834 m,75%
Jezero Jasna,830 m,76%
Pokljuška soteska (luknja),830 m,36%
Poljanska baba,830 m,48%
Brezje / Montemaggiore,819 m,60%
Sv. Peter in Pavel (Perati),812 m,96%
Humčič,810 m,48%
Žerjavec (Kavče),805 m,82%
Koča na Petrovem Brdu,804 m,28%
Planina Črča,800 m,52%
Slap Peričnik - spodnji slap,800 m,28%
Slap Savica,794 m,24%
Počitniški dom v Možnici,793 m,34%
Slap Mostnice,773 m,79%
Rio Bianco / Beli potok,770 m,58%
Korita Mlinarice,770 m,21%
Sveti Lenart (Bača pri Podbrdu),751 m,54%
Koča pri Peričniku,750 m,39%
Slap Slatenik,750 m,41%
Okrepčevalnica Slap Voje,745 m,82%
Gogalova lipa,725 m,80%
Mladinski izobraževalni center v Bavšici,725 m,49%
Jamnikov spodmol,720 m,84%
Belopotoški slap,720 m,27%
Jezero Kreda,715 m,75%
Dolina Škratov,700 m,31%
Slap Parabola,700 m,23%
Izvir Tolminke,695 m,21%
Mala Osojnica,691 m,13%
Koča na Vojah,690 m,23%
Gorejca,680 m,34%
Slap Boka,680 m,10%
Jezero Kreda v dolini Radovne,674 m,95%
Izvir Bele,665 m,48%
Izvir Lipnika,660 m,95%
Spominsko obeležje Aleš Kunaver,660 m,79%
Jezerce v dolini Radovne,657 m,93%
Koča pri Savici,653 m,76%
Peč (razgledišče),650 m,75%
Straža ,646 m,31%
Marija Snežna v Breginjskem kotu,645 m,56%
Sveta Katarina na Homu,634 m,76%
Poglejska cerkev,630 m,45%
Dobra gora,620 m,38%
Izvir Bistrice,610 m,38%
Blejski grad,599 m,75%
Ribenska gora,588 m,55%
Ajdovski gradec,580 m,77%
Korita Možnice (Nemčlje),580 m,35%
Javorca,571 m,13%
Jama Srnica,550 m,44%
Iglica,550 m,43%
Sveti Janez Krstnik (Ribčev Laz),532 m,80%
Slap Šum v Blejskem Vintgarju,520 m,75%
Žičnica čez Tolminko,500 m,44%
